-0.624	-2.77E-4	-2.74E-4	-2.64E-4	-2.72E-4	-2.5E-4	-2.54E-4	-2.47E-4	-2.41E-4
-0.648	-3.18E-4	-3.12E-4	-2.98E-4	-3.05E-4	-2.83E-4	-2.89E-4	-2.77E-4	-2.71E-4
-0.672	-3.61E-4	-3.58E-4	-3.39E-4	-3.47E-4	-3.2E-4	-3.28E-4	-3.16E-4	-3.08E-4
-0.696	-4.1E-4	-4.08E-4	-3.88E-4	-3.91E-4	-3.59E-4	-3.73E-4	-3.56E-4	-3.51E-4
-0.72	-4.73E-4	-4.68E-4	-4.41E-4	-4.44E-4	-4.1E-4	-4.19E-4	-4.02E-4	-3.97E-4
-0.744	-5.48E-4	-5.38E-4	-5.03E-4	-5.07E-4	-4.66E-4	-4.71E-4	-4.59E-4	-4.46E-4
-0.768	-6.33E-4	-6.24E-4	-5.77E-4	-5.9E-4	-5.32E-4	-5.35E-4	-5.19E-4	-5.08E-4
-0.792	-7.32E-4	-7.15E-4	-6.59E-4	-6.72E-4	-6.07E-4	-6.09E-4	-5.9E-4	-5.74E-4
-0.816	-8.54E-4	-8.35E-4	-7.64E-4	-7.67E-4	-6.94E-4	-6.9E-4	-6.73E-4	-6.55E-4
-0.84	-9.94E-4	-9.64E-4	-8.77E-4	-8.76E-4	-7.94E-4	-7.95E-4	-7.68E-4	-7.44E-4
-0.864	-0.00116	-0.00113	-0.00103	-0.00101	-9.13E-4	-9.08E-4	-8.8E-4	-8.52E-4
-0.888	-0.00135	-0.00131	-0.00118	-0.00117	-0.00105	-0.00104	-0.00101	-9.79E-4
-0.912	-0.00157	-0.00151	-0.00138	-0.00135	-0.00121	-0.0012	-0.00116	-0.00113
-0.936	-0.00183	-0.00177	-0.00159	-0.00156	-0.0014	-0.00138	-0.00133	-0.0013
-0.96	-0.00213	-0.00206	-0.00186	-0.00182	-0.00162	-0.0016	-0.00154	-0.0015
-0.984	-0.00248	-0.00239	-0.00217	-0.00211	-0.00188	-0.00185	-0.00178	-0.00173
-1.008	-0.00333	-0.00326	-0.00299	-0.00287	-0.00258	-0.0025	-0.00241	-0.00234
-0.984	-0.00327	-0.00323	-0.00298	-0.00285	-0.00257	-0.00249	-0.0024	-0.00232
-0.96	-0.0028	-0.00279	-0.00257	-0.00247	-0.00222	-0.00216	-0.00208	-0.00202
-0.936	-0.00241	-0.0024	-0.00222	-0.00214	-0.00193	-0.00187	-0.00181	-0.00175
-0.912	-0.00209	-0.00208	-0.00192	-0.00186	-0.00168	-0.00164	-0.00158	-0.00153
-0.888	-0.0018	-0.0018	-0.00166	-0.00162	-0.00145	-0.00142	-0.00137	-0.00134
-0.864	-0.00156	-0.00155	-0.00144	-0.0014	-0.00127	-0.00124	-0.0012	-0.00117
-0.84	-0.00135	-0.00134	-0.00126	-0.00122	-0.00111	-0.00108	-0.00104	-0.00102
-0.816	-0.00117	-0.00116	-0.00109	-0.00107	-9.65E-4	-9.44E-4	-9.14E-4	-8.93E-4
-0.792	-0.00101	-0.00101	-9.42E-4	-9.29E-4	-8.45E-4	-8.28E-4	-8.03E-4	-7.86E-4
-0.768	-8.78E-4	-8.82E-4	-8.26E-4	-8.15E-4	-7.46E-4	-7.29E-4	-7.09E-4	-6.89E-4
-0.744	-7.64E-4	-7.67E-4	-7.26E-4	-7.19E-4	-6.53E-4	-6.45E-4	-6.23E-4	-6.06E-4
-0.72	-6.63E-4	-6.62E-4	-6.37E-4	-6.29E-4	-5.73E-4	-5.66E-4	-5.49E-4	-5.4E-4
-0.696	-5.79E-4	-5.78E-4	-5.56E-4	-5.52E-4	-5.04E-4	-4.99E-4	-4.85E-4	-4.73E-4
-0.672	-5.06E-4	-5.05E-4	-4.87E-4	-4.86E-4	-4.46E-4	-4.43E-4	-4.27E-4	-4.2E-4
-0.648	-4.37E-4	-4.38E-4	-4.32E-4	-4.32E-4	-3.89E-4	-3.95E-4	-3.82E-4	-3.76E-4
-0.624	-3.84E-4	-3.83E-4	-3.79E-4	-3.83E-4	-3.45E-4	-3.49E-4	-3.39E-4	-3.32E-4
-0.6	-3.33E-4	-3.37E-4	-3.34E-4	-3.38E-4	-3.06E-4	-3.11E-4	-3E-4	-2.94E-4
-0.576	-2.9E-4	-2.99E-4	-2.92E-4	-2.94E-4	-2.73E-4	-2.75E-4	-2.64E-4	-2.6E-4
-0.552	-2.58E-4	-2.61E-4	-2.6E-4	-2.59E-4	-2.43E-4	-2.45E-4	-2.34E-4	-2.32E-4
-0.528	-2.26E-4	-2.31E-4	-2.28E-4	-2.32E-4	-2.13E-4	-2.17E-4	-2.08E-4	-2.07E-4
-0.504	-2.01E-4	-2.04E-4	-2E-4	-2.07E-4	-1.9E-4	-1.93E-4	-1.85E-4	-1.85E-4
-0.48	-1.75E-4	-1.81E-4	-1.77E-4	-1.83E-4	-1.7E-4	-1.7E-4	-1.64E-4	-1.65E-4
-0.456	-1.56E-4	-1.61E-4	-1.57E-4	-1.61E-4	-1.48E-4	-1.52E-4	-1.46E-4	-1.46E-4
-0.432	-1.36E-4	-1.42E-4	-1.4E-4	-1.42E-4	-1.33E-4	-1.35E-4	-1.29E-4	-1.29E-4
-0.408	-1.2E-4	-1.24E-4	-1.24E-4	-1.26E-4	-1.17E-4	-1.18E-4	-1.14E-4	-1.13E-4
-0.384	-1.06E-4	-1.11E-4	-1.09E-4	-1.1E-4	-1.01E-4	-1.04E-4	-1.01E-4	-9.9349E-5
-0.36	-9.3375E-5	-9.8033E-5	-9.5929E-5	-9.7207E-5	-8.9286E-5	-9.1754E-5	-8.8506E-5	-8.7669E-5
-0.336	-8.1994E-5	-8.5727E-5	-8.408E-5	-8.55E-5	-7.8789E-5	-7.8696E-5	-7.785E-5	-7.7359E-5
