1	2.3217E-4	1.9661E-4	1.8986E-4	2.0529E-4	2.0816E-4	1.8327E-4	1.9306E-4	1.8915E-4	1.8516E-4	1.7972E-4	1.7972E-4	1.8858E-4	1.786E-4	1.7524E-4
0.98	1.9536E-4	1.7842E-4	1.9914E-4	1.8092E-4	2.0102E-4	1.6859E-4	1.7491E-4	1.6574E-4	1.6735E-4	1.6483E-4	1.6483E-4	1.6754E-4	1.6393E-4	1.5421E-4
0.96	1.8815E-4	1.6244E-4	1.8541E-4	1.6866E-4	1.8245E-4	1.5718E-4	1.6106E-4	1.5422E-4	1.5285E-4	1.5034E-4	1.5034E-4	1.5269E-4	1.4944E-4	1.4232E-4
0.94	1.7043E-4	1.4798E-4	1.6876E-4	1.519E-4	1.6464E-4	1.3943E-4	1.4831E-4	1.4187E-4	1.4122E-4	1.3372E-4	1.3372E-4	1.4057E-4	1.375E-4	1.3013E-4
0.92	1.5619E-4	1.7304E-4	1.5917E-4	1.383E-4	1.4988E-4	1.1915E-4	1.3371E-4	1.2888E-4	1.284E-4	1.1622E-4	1.1622E-4	1.2821E-4	1.1676E-4	1.1224E-4
0.9	1.4295E-4	1.6454E-4	1.5282E-4	1.3262E-4	1.3521E-4	1.1548E-4	1.1886E-4	1.1177E-4	1.1045E-4	1.1408E-4	1.1408E-4	1.0918E-4	1.1078E-4	1.0846E-4
0.88	1.3153E-4	1.5455E-4	1.3558E-4	1.1147E-4	1.2883E-4	1.0673E-4	1.137E-4	1.0945E-4	1.055E-4	1.045E-4	1.045E-4	1.054E-4	1.0415E-4	9.9571E-5
0.86	1.1198E-4	1.4399E-4	1.2941E-4	1.079E-4	1.0708E-4	9.7337E-5	1.0711E-4	9.8504E-5	9.8003E-5	9.4416E-5	9.4416E-5	9.595E-5	9.6846E-5	9.1671E-5
0.84	1.0653E-4	1.1842E-4	1.1605E-4	1.009E-4	1.0551E-4	8.9063E-5	9.9679E-5	9.105E-5	9.0463E-5	8.707E-5	8.707E-5	8.8285E-5	8.7701E-5	8.3287E-5
0.82	9.7215E-5	1.1242E-4	1.126E-4	9.4221E-5	1.0041E-4	8.1347E-5	9.1734E-5	8.614E-5	8.1697E-5	7.9529E-5	7.9529E-5	8.0691E-5	8.1649E-5	7.7086E-5
0.8	9.012E-5	1.1268E-4	1.0871E-4	8.651E-5	1.1924E-4	7.4704E-5	8.5466E-5	7.9162E-5	7.4711E-5	7.3953E-5	7.3953E-5	7.5016E-5	7.4801E-5	7.087E-5
0.78	9.1703E-5	1.0321E-4	1.0279E-4	8.091E-5	8.0976E-5	6.8869E-5	7.8354E-5	7.1205E-5	6.7847E-5	6.649E-5	6.649E-5	6.7782E-5	6.7758E-5	6.5259E-5
0.76	8.1305E-5	9.6341E-5	9.8927E-5	7.4404E-5	8.1924E-5	6.4773E-5	7.1693E-5	6.6154E-5	6.1593E-5	6.2517E-5	6.2517E-5	6.1654E-5	6.5392E-5	6.0334E-5
0.74	7.5999E-5	6.8619E-5	8.3995E-5	6.8495E-5	8.0821E-5	5.8919E-5	6.5416E-5	6.187E-5	5.7509E-5	5.6799E-5	5.6799E-5	5.7155E-5	5.7026E-5	5.4998E-5
0.72	6.9622E-5	8.4905E-5	8.0369E-5	6.217E-5	6.4286E-5	5.3582E-5	6.0243E-5	5.5337E-5	5.2932E-5	5.1376E-5	5.1376E-5	5.2401E-5	5.4409E-5	5.0338E-5
0.7	6.166E-5	8.4778E-5	7.2221E-5	5.7739E-5	8.1442E-5	4.9039E-5	5.5186E-5	5.0851E-5	4.8294E-5	4.7729E-5	4.7729E-5	4.7615E-5	4.8722E-5	4.6004E-5
0.68	6.4138E-5	7.8437E-5	6.7617E-5	5.2253E-5	7.9983E-5	4.4877E-5	5.3152E-5	4.5516E-5	4.397E-5	4.2582E-5	4.2582E-5	4.2619E-5	4.3562E-5	4.1881E-5
0.66	5.7331E-5	7.1896E-5	6.2511E-5	4.9611E-5	6.8476E-5	4.0293E-5	4.9124E-5	4.1678E-5	4.041E-5	3.9698E-5	3.9698E-5	3.9015E-5	4.0702E-5	3.9022E-5
0.64	6.127E-5	6.3235E-5	5.2919E-5	4.3471E-5	6.0227E-5	3.7259E-5	4.2949E-5	3.8994E-5	3.6536E-5	3.6726E-5	3.6726E-5	3.5902E-5	3.8597E-5	3.497E-5
0.62	4.5052E-5	5.826E-5	5.3505E-5	4.2096E-5	4.4691E-5	3.2995E-5	4.0143E-5	3.4999E-5	3.2935E-5	3.2572E-5	3.2572E-5	3.3102E-5	3.5934E-5	3.1976E-5
0.6	4.462E-5	5.5002E-5	5.1421E-5	3.8561E-5	5.0015E-5	3.0679E-5	3.5332E-5	3.3075E-5	2.9924E-5	3.0231E-5	3.0231E-5	2.9629E-5	3.2547E-5	2.9024E-5
0.58	3.8066E-5	5.0165E-5	4.7905E-5	3.4964E-5	4.7324E-5	2.7548E-5	3.312E-5	2.8479E-5	2.7665E-5	2.7324E-5	2.7324E-5	2.6646E-5	2.9026E-5	2.6774E-5
