E	l	cap	A	W	T0	T1	error
-8.735703e-01	8.548366e-01	1.746343e+00	-8.781125e-01	4.947832e-01	2.980000e+02	3.000000e+02	1.33373
-8.735703e-01	8.548366e-01	1.746343e+00	-8.781125e-01	4.947832e-01	2.980000e+02	3.000000e+02	1.33373
-8.735703e-01	8.548366e-01	1.746343e+00	-8.781125e-01	4.947832e-01	2.980000e+02	3.000000e+02	1.33373
-8.735703e-01	8.548366e-01	1.746343e+00	-8.781125e-01	4.947832e-01	2.980000e+02	3.000000e+02	1.33373
-8.858607e-01	9.079087e-01	1.731676e+00	-9.088639e-01	3.879512e-01	2.980000e+02	3.000000e+02	1.32143
-8.858607e-01	9.079087e-01	1.731676e+00	-9.088639e-01	3.879512e-01	2.980000e+02	3.000000e+02	1.32143
-8.858607e-01	9.079087e-01	1.731676e+00	-9.088639e-01	3.879512e-01	2.980000e+02	3.000000e+02	1.32143
-8.858607e-01	9.079087e-01	1.731676e+00	-9.088639e-01	3.879512e-01	2.980000e+02	3.000000e+02	1.32143
-8.858607e-01	9.079087e-01	1.731676e+00	-9.088639e-01	3.879512e-01	2.980000e+02	3.000000e+02	1.32143
-8.858607e-01	9.079087e-01	1.731676e+00	-9.088639e-01	3.879512e-01	2.980000e+02	3.000000e+02	1.32143
-8.858607e-01	9.079087e-01	1.731676e+00	-9.088639e-01	3.879513e-01	2.980000e+02	3.000000e+02	1.32143
-8.782810e-01	8.751783e-01	1.740721e+00	-8.898990e-01	4.538362e-01	2.980000e+02	3.000000e+02	1.29919
-8.782810e-01	8.751783e-01	1.740721e+00	-8.898990e-01	4.538362e-01	2.980000e+02	3.000000e+02	1.29919
-8.782810e-01	8.751783e-01	1.740721e+00	-8.898990e-01	4.538362e-01	2.980000e+02	3.000000e+02	1.29919
-8.782810e-01	8.751783e-01	1.740721e+00	-8.898990e-01	4.538362e-01	2.980000e+02	3.000000e+02	1.29919
-8.782810e-01	8.751783e-01	1.740721e+00	-8.898990e-01	4.538362e-01	2.980000e+02	3.000000e+02	1.29919
-8.782810e-01	8.751783e-01	1.740721e+00	-8.898990e-01	4.538362e-01	2.980000e+02	3.000000e+02	1.29919
-8.782810e-01	8.751783e-01	1.740721e+00	-8.898990e-01	4.538363e-01	2.980000e+02	3.000000e+02	1.29919
-8.778380e-01	9.408405e-01	1.761447e+00	-8.833829e-01	3.747555e-01	2.980000e+02	3.000000e+02	1.25505
-8.778380e-01	9.408405e-01	1.761447e+00	-8.833829e-01	3.747555e-01	2.980000e+02	3.000000e+02	1.25505
-8.778380e-01	9.408405e-01	1.761447e+00	-8.833829e-01	3.747555e-01	2.980000e+02	3.000000e+02	1.25505
-8.778380e-01	9.408405e-01	1.761447e+00	-8.833829e-01	3.747555e-01	2.980000e+02	3.000000e+02	1.25505
-8.778380e-01	9.408405e-01	1.761447e+00	-8.833829e-01	3.747555e-01	2.980000e+02	3.000000e+02	1.25505
-8.778380e-01	9.408405e-01	1.761447e+00	-8.833829e-01	3.747555e-01	2.980000e+02	3.000000e+02	1.25505
-8.778380e-01	9.408405e-01	1.761447e+00	-8.833829e-01	3.747555e-01	2.980000e+02	3.000000e+02	1.25505
-8.242047e-01	1.067359e+00	1.823624e+00	-9.100763e-01	3.499231e-01	2.980000e+02	3.000000e+02	1.17363
