Offset	Energy	lambda	cap	A	QWidth	T0	T1	error
1.221295e+01	7.000000e-01	7.316306e-01	-1.827370e+00	-7.157010e-01	4.982526e-02	2.980000e+02	3.000000e+02	3.02157
1.561721e+01	7.000000e-01	7.062541e-01	-5.350627e-01	-1.281532e+00	9.839194e-02	2.980000e+02	3.000000e+02	1.75143
8.212167e+00	7.000000e-01	1.881656e-01	-1.002534e+00	-8.765570e-01	2.401460e-01	2.980000e+02	3.000000e+02	2.16032
4.531553e+00	7.000000e-01	7.226825e-01	-1.327683e+00	-3.470585e-01	1.651450e-01	2.980000e+02	3.000000e+02	2.61328
1.833876e+01	7.000000e-01	8.290459e-01	-4.454626e-01	-2.948030e-01	2.138519e-01	2.980000e+02	3.000000e+02	3.25625
9.130029e+00	7.000000e-01	9.679819e-01	-1.975749e+00	-5.251317e-01	1.641477e-01	2.980000e+02	3.000000e+02	2.83678
1.875133e+01	7.000000e-01	8.448708e-01	-2.932757e-01	-1.778507e-01	1.721763e-01	2.980000e+02	3.000000e+02	3.08339
7.192310e+00	7.000000e-01	7.094355e-01	-1.836341e+00	-2.212962e-01	1.710987e-01	2.980000e+02	3.000000e+02	2.34272
7.701349e+00	7.000000e-01	5.914700e-01	-2.455946e+00	-9.069104e-01	1.045029e-01	2.980000e+02	3.000000e+02	2.95360
3.557750e+00	7.000000e-01	9.349156e-01	-8.674310e-01	-8.218944e-01	2.117184e-01	2.980000e+02	3.000000e+02	3.33994
